session_id,session,platform,client_ip,remote_relay_in_known_range,start_time,end_time,duration_s,valid_session,n_packets,n_uplink_pkts,n_downlink_pkts,uplink_throughput_mbps,downlink_throughput_mbps,uplink_throughput_peak_mbps,downlink_throughput_peak_mbps,uplink_video_bitrate_mbps,downlink_video_bitrate_mbps,uplink_video_bitrate_peak_mbps,downlink_video_bitrate_peak_mbps,uplink_audio_bitrate_mbps,downlink_audio_bitrate_mbps,uplink_jitter_ms,downlink_jitter_ms,uplink_jitter_max_ms,downlink_jitter_max_ms,uplink_jitter_p95_ms,downlink_jitter_p95_ms,uplink_fps_m1,downlink_fps_m1,uplink_fps_m2,downlink_fps_m2,uplink_n_video_ssrc,downlink_n_video_ssrc
Session_10.184.0.102_1781777070551667106,Session_10.184.0.102_1781777070551667106.csv,Meet,10.184.0.102,True,2026-06-18 10:04:30.551667106+00:00,2026-06-18 10:08:13.898132888+00:00,223.346465782,True,33925,30999,2926,0.90102925,0.015453925925925925,1.331832,0.079936,0.9032287303416798,,1.360112,,0.06766359368916941,0.015485696532275548,7.849312355037709,,16.63998534859404,,16.357577157038452,,9.439370319196287,,20.502439024390245,,4,0
Session_10.184.0.163_1781801792210035733,Session_10.184.0.163_1781801792210035733.csv,Meet,10.184.0.163,True,2026-06-18 16:56:32.210035733+00:00,2026-06-18 16:56:33.969949201+00:00,1.759913468,False,19,19,0,0.009776,,0.016664,,,,,,0.011109637124499807,,,,,,,,,,,,0,0
Session_10.184.0.80_1781792930719904605,Session_10.184.0.80_1781792930719904605.csv,Meet,10.184.0.80,True,2026-06-18 14:28:50.719904605+00:00,2026-06-18 14:30:15.275934124+00:00,84.556029519,True,20853,20722,131,2.0964057411764707,0.011653538461538462,4.420944,0.031368,2.4282431904323993,,4.307608,,0.028786181474332758,0.012538305617792898,49.5556679077879,,76.02089085975999,,73.80272195129442,,5.873817272310121,,20.253521126760564,,3,0
Session_10.184.1.129_1781778575009148739,Session_10.184.1.129_1781778575009148739.csv,Meet,10.184.1.129,True,2026-06-18 10:29:35.009148739+00:00,2026-06-18 10:29:37.494875699+00:00,2.48572696,False,20,20,0,0.009576,,0.0232,,,,,,0.011557182450963963,,,,,,,,,,,,0,0
Session_10.184.1.234_1781797547045029577,Session_10.184.1.234_1781797547045029577.csv,Meet,10.184.1.234,True,2026-06-18 15:45:47.045029577+00:00,2026-06-18 16:00:08.497297563+00:00,861.452267986,True,155194,95876,59318,0.8291270812064966,0.5517064776902887,2.10308,2.617216,0.7973791122228107,0.5274520125100228,1.963168,2.580352,0.03688718609062833,0.024552732658279185,63.67044081136212,82.45958657193599,256.6104837348822,190.9788559686181,210.37401475679263,175.2269501739121,4.540239947529587,6.477820699665304,16.18362573099415,22.381481481481483,6,3
Session_10.184.10.74_1781785891780866942,Session_10.184.10.74_1781785891780866942.csv,Meet,10.184.10.74,True,2026-06-18 12:31:31.780866942+00:00,2026-06-18 12:44:36.880308549+00:00,785.099441607,True,35155,7957,27198,0.014387943949044586,0.45768877932405566,0.102912,2.378256,,0.6984250073622746,,2.378256,0.014391731654448474,0.001281947787802272,,14.306889782131542,,22.49339792541835,,22.26431875569557,,2.481532780117862,,18.31498470948012,0,5
Session_10.184.10.99_1781774871700347257,Session_10.184.10.99_1781774871700347257.csv,Meet,10.184.10.99,True,2026-06-18 09:27:51.700347257+00:00,2026-06-18 09:27:52.739183730+00:00,1.038836473,False,15,15,0,0.007664,,0.013872,,,,,,0.014754969043140248,,,,,,,,,,,,0,0
Session_10.184.10.99_1781775048582157766,Session_10.184.10.99_1781775048582157766.csv,Meet,10.184.10.99,True,2026-06-18 09:30:48.582157766+00:00,2026-06-18 09:38:44.722574390+00:00,476.140416624,True,30608,29670,938,0.38731922746781117,0.0027799829059829057,4.770016,0.079496,0.6066145433550703,,4.744448,,0.04618315686584564,0.0027850096975370543,39.41228007752037,,125.20318164170178,,108.82449357992814,,1.518459628204469,,27.2625,,9,0
Session_10.184.10.99_1781775676717734355,Session_10.184.10.99_1781775676717734355.csv,Meet,10.184.10.99,True,2026-06-18 09:41:16.717734355+00:00,2026-06-18 09:52:29.452869086+00:00,672.735134731,True,27847,9186,18661,0.0445673351800554,0.06099641010401188,0.097976,3.805488,,0.0029411698037769074,,0.082792,0.044591694779500445,0.05856495562929931,,149.10414278681745,,149.10414278681745,,149.10414278681745,,0.6421546574533223,,0.15384615384615385,0,1
Session_10.184.100.14_1781838663517041030,Session_10.184.100.14_1781838663517041030.csv,Meet,10.184.100.14,True,2026-06-19 03:11:03.517041030+00:00,2026-06-19 03:46:21.618788508+00:00,2118.101747478,True,220542,71881,148661,0.09604393201133145,0.4071467816200852,0.237168,0.58844,0.0594580485693481,0.37851490525174863,0.197048,0.575088,0.03677387509715197,0.028807076460422815,68.73045986304474,63.89847561840011,68.73045986304474,100.12710257709068,68.73045986304474,93.7068114418291,9.077467606498777,4.677983225424518,9.10473933649289,7.023244781783681,1,11
